"Unit ID","Date Time","Proj ID",Temperature,Light
0x00540007,"2018-02-06 13:18:08",8,23.06,303
0x00540007,"2018-02-06 13:20:48",8,24.12,545
0x00540007,"2018-02-06 13:24:58",8,24.37,576
0x00540007,"2018-02-06 13:29:07",8,24.37,616
0x00540007,"2018-02-06 13:33:15",8,24.68,14
0x00540007,"2018-02-06 13:37:27",8,24.43,14
0x00540007,"2018-02-06 13:41:37",8,25.5,14
0x00540007,"2018-02-06 14:14:39",8,85,1639
0x00540007,"2018-02-06 14:18:04",8,85,795
0x00540007,"2018-02-06 14:20:09",8,28.12,8856
0x00540007,"2018-02-06 14:22:13",8,28.18,8872
0x00540007,"2018-02-06 14:24:17",8,28,8802
0x00540007,"2018-02-06 14:26:21",8,27.62,8613
0x00540007,"2018-02-06 14:28:27",8,28.18,12059
0x00540007,"2018-02-06 14:32:36",8,28.75,8159
0x00540007,"2018-02-06 14:34:40",8,28.06,8144
0x00540007,"2018-02-06 14:36:45",8,28.25,8073
0x00540007,"2018-02-06 14:38:49",8,28.62,8007
0x00540007,"2018-02-06 14:40:55",8,28.81,8232
0x00540007,"2018-02-06 14:42:59",8,29.12,7952
0x00540007,"2018-02-06 14:45:04",8,28.93,9130
0x00540007,"2018-02-06 14:47:08",8,28.81,7929
0x00540007,"2018-02-06 14:49:13",8,29,9159
0x00540007,"2018-02-06 14:51:18",8,29.12,8497
0x00540007,"2018-02-06 14:53:22",8,28.43,11617
0x00540007,"2018-02-06 14:55:27",8,28.56,7761
0x00540007,"2018-02-06 14:57:31",8,28.31,7698
0x00540007,"2018-02-06 14:59:35",8,27.87,7915
0x00540007,"2018-02-06 15:01:41",8,28.06,10808
0x00540007,"2018-02-06 15:05:49",8,27.75,9176
0x00540007,"2018-02-06 15:07:53",8,28.12,8532
0x00540007,"2018-02-06 15:09:59",8,27.93,8197
0x00540007,"2018-02-06 15:12:05",8,28,8404
0x00540007,"2018-02-06 15:14:09",8,28.12,11506
0x00540007,"2018-02-06 15:18:20",8,28.25,12278
0x00540007,"2018-02-06 15:20:24",8,27.93,11193
0x00540007,"2018-02-06 15:22:29",8,28.06,10398
0x00540007,"2018-02-06 15:24:35",8,27.81,18426
0x00540007,"2018-02-06 15:26:40",8,27.93,6936
0x00540007,"2018-02-06 15:28:45",8,27.87,6774
0x00540007,"2018-02-06 15:30:50",8,28,7287
0x00540007,"2018-02-06 15:34:59",8,27.87,7944
0x00540007,"2018-02-06 15:37:04",8,28.12,8806
0x00540007,"2018-02-06 15:39:09",8,27.75,6455
0x00540007,"2018-02-06 15:41:14",8,27.62,6505
0x00540007,"2018-02-06 15:43:19",8,27.37,6802
0x00540007,"2018-02-06 15:45:23",8,27.06,6534
